timestamp,src_ip,dst_ip,protocol,length
2025-06-19 16:53:19.718341,192.168.1.20,188.138.125.61,6,66
2025-06-19 16:53:19.922179,188.138.125.61,192.168.1.20,6,58
2025-06-19 16:53:20.426212,192.168.1.20,188.138.125.61,6,66
2025-06-19 16:53:20.639449,188.138.125.61,192.168.1.20,6,58
2025-06-19 16:53:21.139947,192.168.1.20,188.138.125.61,6,66
2025-06-19 16:53:21.324343,188.138.125.61,192.168.1.20,6,58
2025-06-19 16:53:26.693102,192.168.1.20,188.138.125.61,6,66
2025-06-19 16:53:26.868838,188.138.125.61,192.168.1.20,6,58
2025-06-19 16:53:27.384328,192.168.1.20,188.138.125.61,6,66
2025-06-19 16:53:27.603873,188.138.125.61,192.168.1.20,6,58
2025-06-19 16:53:28.113935,192.168.1.20,188.138.125.61,6,66
2025-06-19 16:53:28.324116,188.138.125.61,192.168.1.20,6,58
2025-06-19 16:53:28.817118,192.168.1.20,188.138.125.61,6,66
2025-06-19 16:53:29.037192,188.138.125.61,192.168.1.20,6,58
2025-06-19 16:53:29.543262,192.168.1.20,188.138.125.61,6,66
2025-06-19 17:22:21.759816,13.89.179.11,192.168.1.20,6,153
2025-06-19 17:22:21.764610,192.168.1.20,13.89.179.11,6,89
2025-06-19 17:22:21.792903,192.168.1.20,188.138.25.13,6,66
2025-06-19 17:22:21.968107,188.138.25.13,192.168.1.20,6,58
2025-06-19 17:22:22.065732,13.89.179.11,192.168.1.20,6,56
2025-06-19 17:22:22.473330,192.168.1.20,188.138.25.13,6,66
2025-06-19 17:22:22.679963,188.138.25.13,192.168.1.20,6,58
2025-06-19 17:22:23.185095,192.168.1.20,188.138.25.13,6,66
2025-06-19 17:22:23.396690,188.138.25.13,192.168.1.20,6,58
2025-06-19 17:22:23.900990,192.168.1.20,188.138.25.13,6,66
2025-06-19 17:22:24.117493,188.138.25.13,192.168.1.20,6,58
2025-06-19 17:22:24.629708,192.168.1.20,188.138.25.13,6,66
2025-06-19 17:22:24.830689,188.138.25.13,192.168.1.20,6,58
2025-06-19 17:22:37.674811,192.168.1.20,13.89.179.11,6,89
2025-06-19 17:22:37.772207,13.89.179.11,192.168.1.20,6,56
2025-06-19 17:22:38.041633,13.89.179.11,192.168.1.20,6,66
2025-06-19 17:22:39.363680,192.168.1.20,188.138.25.13,6,66
2025-06-19 17:22:39.577370,188.138.25.13,192.168.1.20,6,58
2025-06-19 17:22:39.679515,192.168.1.23,224.0.0.251,17,135
2025-06-19 17:22:40.090994,192.168.1.20,188.138.25.13,6,66
2025-06-19 17:22:40.292792,188.138.25.13,192.168.1.20,6,58
2025-06-19 17:22:40.801350,192.168.1.20,188.138.25.13,6,66
2025-06-19 17:22:44.804732,192.168.1.20,188.138.25.13,6,66
2025-06-19 17:22:45.002495,188.138.25.13,192.168.1.20,6,58
2025-06-19 17:22:45.518206,192.168.1.20,188.138.25.13,6,66
2025-06-19 17:22:45.719191,188.138.25.13,192.168.1.20,6,58
2025-06-19 17:22:46.335117,172.188.215.153,192.168.1.20,6,113
2025-06-19 17:22:46.336563,192.168.1.20,172.188.215.153,6,120
